date,tag,asset,downloadCount
2026-09-22,"v0.7.2","ObjectExplorer-0.7.2-arm64.AppImage",1
2026-09-22,"v0.7.2","ObjectExplorer-0.7.2-arm64.dmg",2
2026-09-22,"v0.7.2","ObjectExplorer-0.7.2-arm64.exe",1
2026-09-22,"v0.7.2","ObjectExplorer-0.7.2-arm64.msix",1
2026-09-22,"v0.7.2","ObjectExplorer-0.7.2-x64.AppImage",1
2026-09-22,"v0.7.2","ObjectExplorer-0.7.2-x64.dmg",1
2026-09-22,"v0.7.2","ObjectExplorer-0.7.2-x64.exe",1
2026-09-22,"v0.7.2","ObjectExplorer-0.7.2-x64.msix",2
2026-09-22,"v0.7.0","ObjectExplorer-0.7.0-arm64.AppImage",0
2026-09-22,"v0.7.0","ObjectExplorer-0.7.0-arm64.dmg",0
2026-09-22,"v0.7.0","ObjectExplorer-0.7.0-arm64.exe",0
2026-09-22,"v0.7.0","ObjectExplorer-0.7.0-arm64.msix",0
2026-09-22,"v0.7.0","ObjectExplorer-0.7.0-x64.AppImage",0
2026-09-22,"v0.7.0","ObjectExplorer-0.7.0-x64.dmg",0
2026-09-22,"v0.7.0","ObjectExplorer-0.7.0-x64.exe",0
2026-09-22,"v0.7.0","ObjectExplorer-0.7.0-x64.msix",0
2026-09-22,"latest","ObjectExplorer-linux-arm64.AppImage",0
2026-09-22,"latest","ObjectExplorer-linux-x64.AppImage",0
2026-09-22,"latest","ObjectExplorer-mac-arm64.dmg",0
2026-09-22,"latest","ObjectExplorer-mac-x64.dmg",0
2026-09-22,"latest","ObjectExplorer-windows-arm64.exe",0
2026-09-22,"latest","ObjectExplorer-windows-arm64.msix",1
2026-09-22,"latest","ObjectExplorer-windows-x64.exe",0
2026-09-22,"latest","ObjectExplorer-windows-x64.msix",0
2026-09-23,"v0.7.4","ObjectExplorer-0.7.4-arm64.AppImage",2
2026-09-23,"v0.7.4","ObjectExplorer-0.7.4-arm64.dmg",2
2026-09-23,"v0.7.4","ObjectExplorer-0.7.4-arm64.exe",2
2026-09-23,"v0.7.4","ObjectExplorer-0.7.4-arm64.msix",3
2026-09-23,"v0.7.4","ObjectExplorer-0.7.4-x64.AppImage",2
2026-09-23,"v0.7.4","ObjectExplorer-0.7.4-x64.dmg",2
2026-09-23,"v0.7.4","ObjectExplorer-0.7.4-x64.exe",2
2026-09-23,"v0.7.4","ObjectExplorer-0.7.4-x64.msix",2
2026-09-23,"v0.7.2","ObjectExplorer-0.7.2-arm64.AppImage",1
2026-09-23,"v0.7.2","ObjectExplorer-0.7.2-arm64.dmg",2
2026-09-23,"v0.7.2","ObjectExplorer-0.7.2-arm64.exe",1
2026-09-23,"v0.7.2","ObjectExplorer-0.7.2-arm64.msix",1
2026-09-23,"v0.7.2","ObjectExplorer-0.7.2-x64.AppImage",1
2026-09-23,"v0.7.2","ObjectExplorer-0.7.2-x64.dmg",1
2026-09-23,"v0.7.2","ObjectExplorer-0.7.2-x64.exe",1
2026-09-23,"v0.7.2","ObjectExplorer-0.7.2-x64.msix",2
2026-09-23,"v0.7.0","ObjectExplorer-0.7.0-arm64.AppImage",0
2026-09-23,"v0.7.0","ObjectExplorer-0.7.0-arm64.dmg",0
2026-09-23,"v0.7.0","ObjectExplorer-0.7.0-arm64.exe",0
2026-09-23,"v0.7.0","ObjectExplorer-0.7.0-arm64.msix",0
2026-09-23,"v0.7.0","ObjectExplorer-0.7.0-x64.AppImage",0
2026-09-23,"v0.7.0","ObjectExplorer-0.7.0-x64.dmg",0
2026-09-23,"v0.7.0","ObjectExplorer-0.7.0-x64.exe",0
2026-09-23,"v0.7.0","ObjectExplorer-0.7.0-x64.msix",0
2026-09-23,"latest","ObjectExplorer-linux-arm64.AppImage",0
2026-09-23,"latest","ObjectExplorer-linux-x64.AppImage",0
2026-09-23,"latest","ObjectExplorer-mac-arm64.dmg",0
2026-09-23,"latest","ObjectExplorer-mac-x64.dmg",0
2026-09-23,"latest","ObjectExplorer-windows-arm64.exe",0
2026-09-23,"latest","ObjectExplorer-windows-arm64.msix",1
2026-09-23,"latest","ObjectExplorer-windows-x64.exe",0
2026-09-23,"latest","ObjectExplorer-windows-x64.msix",0
2026-09-24,"v0.7.6","ObjectExplorer-0.7.6-arm64.AppImage",0
2026-09-24,"v0.7.6","ObjectExplorer-0.7.6-arm64.dmg",20
2026-09-24,"v0.7.6","ObjectExplorer-0.7.6-arm64.exe",15
2026-09-24,"v0.7.6","ObjectExplorer-0.7.6-arm64.msix",0
2026-09-24,"v0.7.6","ObjectExplorer-0.7.6-x64.AppImage",0
2026-09-24,"v0.7.6","ObjectExplorer-0.7.6-x64.dmg",14
2026-09-24,"v0.7.6","ObjectExplorer-0.7.6-x64.exe",13
2026-09-24,"v0.7.6","ObjectExplorer-0.7.6-x64.msix",0
2026-09-24,"v0.7.4","ObjectExplorer-0.7.4-arm64.AppImage",2
2026-09-24,"v0.7.4","ObjectExplorer-0.7.4-arm64.dmg",2
2026-09-24,"v0.7.4","ObjectExplorer-0.7.4-arm64.exe",2
2026-09-24,"v0.7.4","ObjectExplorer-0.7.4-arm64.msix",3
2026-09-24,"v0.7.4","ObjectExplorer-0.7.4-x64.AppImage",3
2026-09-24,"v0.7.4","ObjectExplorer-0.7.4-x64.dmg",2
2026-09-24,"v0.7.4","ObjectExplorer-0.7.4-x64.exe",2
2026-09-24,"v0.7.4","ObjectExplorer-0.7.4-x64.msix",3
2026-09-24,"v0.7.2","ObjectExplorer-0.7.2-arm64.AppImage",1
2026-09-24,"v0.7.2","ObjectExplorer-0.7.2-arm64.dmg",2
2026-09-24,"v0.7.2","ObjectExplorer-0.7.2-arm64.exe",1
2026-09-24,"v0.7.2","ObjectExplorer-0.7.2-arm64.msix",1
2026-09-24,"v0.7.2","ObjectExplorer-0.7.2-x64.AppImage",1
2026-09-24,"v0.7.2","ObjectExplorer-0.7.2-x64.dmg",1
2026-09-24,"v0.7.2","ObjectExplorer-0.7.2-x64.exe",1
2026-09-24,"v0.7.2","ObjectExplorer-0.7.2-x64.msix",2
2026-09-24,"v0.7.0","ObjectExplorer-0.7.0-arm64.AppImage",0
2026-09-24,"v0.7.0","ObjectExplorer-0.7.0-arm64.dmg",0
2026-09-24,"v0.7.0","ObjectExplorer-0.7.0-arm64.exe",0
2026-09-24,"v0.7.0","ObjectExplorer-0.7.0-arm64.msix",0
2026-09-24,"v0.7.0","ObjectExplorer-0.7.0-x64.AppImage",0
2026-09-24,"v0.7.0","ObjectExplorer-0.7.0-x64.dmg",0
2026-09-24,"v0.7.0","ObjectExplorer-0.7.0-x64.exe",0
2026-09-24,"v0.7.0","ObjectExplorer-0.7.0-x64.msix",0
2026-09-24,"latest","ObjectExplorer-linux-arm64.AppImage",0
2026-09-24,"latest","ObjectExplorer-linux-x64.AppImage",0
2026-09-24,"latest","ObjectExplorer-mac-arm64.dmg",0
2026-09-24,"latest","ObjectExplorer-mac-x64.dmg",0
2026-09-24,"latest","ObjectExplorer-windows-arm64.exe",0
2026-09-24,"latest","ObjectExplorer-windows-arm64.msix",1
2026-09-24,"latest","ObjectExplorer-windows-x64.exe",0
2026-09-24,"latest","ObjectExplorer-windows-x64.msix",0
2026-09-25,"v0.7.6","ObjectExplorer-0.7.6-arm64.AppImage",9
2026-09-25,"v0.7.6","ObjectExplorer-0.7.6-arm64.dmg",28
2026-09-25,"v0.7.6","ObjectExplorer-0.7.6-arm64.exe",21
2026-09-25,"v0.7.6","ObjectExplorer-0.7.6-arm64.msix",9
2026-09-25,"v0.7.6","ObjectExplorer-0.7.6-x64.AppImage",9
2026-09-25,"v0.7.6","ObjectExplorer-0.7.6-x64.dmg",22
2026-09-25,"v0.7.6","ObjectExplorer-0.7.6-x64.exe",21
2026-09-25,"v0.7.6","ObjectExplorer-0.7.6-x64.msix",9
2026-09-25,"v0.7.4","ObjectExplorer-0.7.4-arm64.AppImage",2
2026-09-25,"v0.7.4","ObjectExplorer-0.7.4-arm64.dmg",2
2026-09-25,"v0.7.4","ObjectExplorer-0.7.4-arm64.exe",2
2026-09-25,"v0.7.4","ObjectExplorer-0.7.4-arm64.msix",3
2026-09-25,"v0.7.4","ObjectExplorer-0.7.4-x64.AppImage",3
2026-09-25,"v0.7.4","ObjectExplorer-0.7.4-x64.dmg",2
2026-09-25,"v0.7.4","ObjectExplorer-0.7.4-x64.exe",2
2026-09-25,"v0.7.4","ObjectExplorer-0.7.4-x64.msix",3
2026-09-25,"v0.7.2","ObjectExplorer-0.7.2-arm64.AppImage",1
2026-09-25,"v0.7.2","ObjectExplorer-0.7.2-arm64.dmg",2
2026-09-25,"v0.7.2","ObjectExplorer-0.7.2-arm64.exe",1
